Dataset,Accuracy,F1_Score,MCC
CM1,0.8484848484848485,0.4444444444444444,0.3609647718302481
JM1,0.6405440414507773,0.4399596367305752,0.25248106890056043
KC1,0.6952789699570815,0.48175182481751827,0.27709127377370507
KC3,0.7948717948717948,0.42857142857142855,0.30357142857142855
MC1,0.8925831202046036,0.125,0.14265701719916876
MC2,0.68,0.6,0.3424747597107866
MW1,0.84,0.5,0.46671106459909195
PC1,0.8235294117647058,0.3333333333333333,0.27695832391519337
PC2,0.896551724137931,0.11764705882352941,0.11652866190344743
PC3,0.7440758293838863,0.4,0.3172292486043972
PC4,0.8543307086614174,0.6105263157894737,0.5575043816374273
PC5,0.7138643067846607,0.5975103734439834,0.4218630155088882
