Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula
CM1,F1,0.38926174496644295,0.32142871664155226,0.6060606060606061,0.3157894736842105,0.22037063867676335,3,(x4 sub x3)
CM1,F1,0.42276422764227645,0.34592044505876357,0.7424242424242424,0.37037037037037035,0.2765255613282148,5,((x4 mul 1.842) sub x3)
CM1,MCC,0.38926174496644295,0.32142871664155226,0.6060606060606061,0.3157894736842105,0.22037063867676335,3,(x4 sub x3)
CM1,MCC,0.42276422764227645,0.34592044505876357,0.7424242424242424,0.37037037037037035,0.2765255613282148,5,((x4 mul 1.842) sub x3)
JM1,F1,0.43263430048836543,0.24589559705548544,0.6742227979274611,0.42514285714285716,0.23498138844033187,3,(x7 add 0.112)
JM1,F1,0.43263430048836543,0.24589559705548544,0.6742227979274611,0.42514285714285716,0.23498138844033187,3,(0.112 add x7)
JM1,F1,0.4395670475045099,0.259054433630258,0.694300518134715,0.4354066985645933,0.2530569524642463,7,(x18 add (x0 add (x19 add x2)))
JM1,MCC,0.4280467445742905,0.2538166348467452,0.7221502590673575,0.4272363150867824,0.252867177700045,3,(x0 add x4)
JM1,MCC,0.4280467445742905,0.2538166348467452,0.7221502590673575,0.4272363150867824,0.252867177700045,3,(x4 add x0)
JM1,MCC,0.42880960320106704,0.2546697176404197,0.7202072538860104,0.424,0.24838051674054867,5,((x0 add x1) add x0)
KC1,F1,0.4974271012006861,0.2914536591354508,0.6566523605150214,0.4594594594594595,0.23286113432646996,3,(x16 sub x2)
KC1,MCC,0.4974271012006861,0.2914536591354508,0.6566523605150214,0.4594594594594595,0.23286113432646996,3,(x16 sub x2)
KC3,F1,0.5161290322580645,0.3970806705046656,0.7948717948717948,0.42857142857142855,0.30357142857142855,3,(x21 add x3)
KC3,F1,0.5161290322580645,0.3970806705046656,0.7948717948717948,0.42857142857142855,0.30357142857142855,3,(x3 add x21)
KC3,F1,0.5517241379310345,0.44854953475643133,0.8461538461538461,0.5,0.4202090316165287,5,((x21 add x3) add x3)
KC3,MCC,0.6,0.5351443757601302,0.8974358974358975,0.6,0.6172133998483676,4,(cos(x34) div x3)
MC1,F1,0.1702127659574468,0.18235243921627367,0.9386189258312021,0.14285714285714285,0.13894681102070472,2,log(x3)
MC1,F1,0.23529411764705882,0.22115441533485436,0.969309462915601,0.0,-0.015366492830175247,5,(log(x3) sub sin(x3))
MC1,MCC,0.17142857142857143,0.22146802454231385,0.9820971867007673,0.0,0.0,3,(x2 sub 5.715)
MC2,F1,0.6774193548387096,0.543426627982104,0.48,0.23529411764705882,-0.1572070363806331,3,(x12 add x17)
MC2,F1,0.6774193548387096,0.543426627982104,0.48,0.23529411764705882,-0.1572070363806331,3,(x17 add x12)
MC2,MCC,0.696969696969697,0.5485509139337522,0.44,0.2222222222222222,-0.2152777777777778,3,(x38 add x6)
MC2,MCC,0.696969696969697,0.5485509139337522,0.44,0.2222222222222222,-0.2152777777777778,3,(x6 add x38)
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x15))
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x0))
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x0 mul x5))
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x15 mul x26))
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x26 mul x15))
MW1,F1,0.5405405405405406,0.4960287306087647,0.9,0.6153846153846154,0.5819143739626463,13,(exp((exp((x5 mul x5)) mul log(x0))) mul log((x5 mul x15)))
MW1,MCC,0.5365853658536586,0.4838743367850565,0.86,0.5333333333333333,0.5,4,log((x8 mul x34))
MW1,MCC,0.5365853658536586,0.4838743367850565,0.86,0.5333333333333333,0.5,4,log((x34 mul x8))
PC1,F1,0.4367816091954023,0.3877698766726483,0.8529411764705882,0.23076923076923078,0.15382134689903482,4,log((x4 mul x17))
PC1,F1,0.4367816091954023,0.3877698766726483,0.8529411764705882,0.23076923076923078,0.15382134689903482,4,log((x17 mul x4))
PC1,F1,0.46511627906976744,0.4192770237604371,0.875,0.2608695652173913,0.1929551024312449,6,log(((x4 mul x17) mul x34))
PC1,F1,0.475,0.4362461618984127,0.875,0.2608695652173913,0.1929551024312449,13,((log((x4 mul x17)) add (x4 mul x17)) sub sqrt((x17 add x18)))
PC1,MCC,0.4266666666666667,0.39233395580485403,0.8823529411764706,0.2,0.13799763351003697,4,log((x4 mul x24))
PC1,MCC,0.4266666666666667,0.39233395580485403,0.8823529411764706,0.2,0.13799763351003697,4,log((x24 mul x4))
PC1,MCC,0.5,0.4943355576830981,0.9117647058823529,0.3333333333333333,0.29705219752420875,6,log((x17 mul (x3 mul x4)))
PC2,F1,0.26666666666666666,0.296349656721054,0.8689655172413793,0.09523809523809523,0.09221434371298982,4,(x29 sub sqrt(x7))
PC2,F1,0.26666666666666666,0.296349656721054,0.8689655172413793,0.09523809523809523,0.09221434371298982,4,(x20 sub sqrt(x7))
PC2,F1,0.2857142857142857,0.31267195079167676,0.8551724137931035,0.0,-0.054720599565950004,6,(x20 sub sqrt((x22 add x9)))
PC2,MCC,0.14285714285714285,0.27444582857189287,0.9724137931034482,0.0,-0.01211253957778773,3,(x14 add -9.350)
PC2,MCC,0.14285714285714285,0.27444582857189287,0.9724137931034482,0.0,-0.01211253957778773,3,(x14 add -7.981)
PC3,F1,0.42424242424242425,0.3520361651823313,0.7725118483412322,0.4666666666666667,0.4113277089448768,3,(x0 sub 0.175)
PC3,F1,0.4289405684754522,0.36712799109201105,0.7393364928909952,0.4329896907216495,0.37384778947018954,5,(x0 sub (-0.811 mul x17))
PC3,MCC,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,1,x0
PC3,MCC,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,3,(8.065 mul x0)
PC3,MCC,0.42744063324538256,0.36200485286190753,0.7582938388625592,0.45161290322580644,0.39472952922286636,16,((exp((((x17 add x5) sub exp(x15)) sub x0)) mul exp((x0 mul x0))) mul x0)
PC3,MCC,0.432,0.3672043605161456,0.7582938388625592,0.45161290322580644,0.39472952922286636,21,((exp((((x17 add x5) sub exp(x15)) sub (cos(x0) add (x31 mul x30)))) mul exp((x0 mul x0))) mul x0)
PC4,F1,0.4793814432989691,0.3897313116187608,0.7519685039370079,0.37623762376237624,0.25799047063631453,1,x3
PC4,F1,0.4793814432989691,0.3897313116187608,0.7519685039370079,0.37623762376237624,0.25799047063631453,3,(x3 mul 9.651)
PC4,F1,0.4793814432989691,0.3897313116187608,0.7519685039370079,0.37623762376237624,0.25799047063631453,3,(8.065 mul x3)
PC4,F1,0.4793814432989691,0.3897313116187608,0.7519685039370079,0.37623762376237624,0.25799047063631453,4,(sin(x3) add x3)
PC4,F1,0.5025380710659898,0.4206125118563952,0.7637795275590551,0.4,0.2890608035265323,7,((x3 mul 9.651) sub (x14 add x10))
PC4,MCC,0.5557894736842105,0.5190749774702937,0.7795275590551181,0.5,0.4321547828523408,3,(x3 sub x13)
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,3,(x34 add x34)
PC5,MCC,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34
PC5,MCC,0.536734693877551,0.32438382809344307,0.6696165191740413,0.5333333333333333,0.31880228766515095,9,((x34 add (x22 add sin(6.565))) add sin(x34))
