Dataset,Acc,F1,MCC
CM1,0.8787878787878788,0.5,0.43103448275862066
JM1,0.6230569948186528,0.44571428571428573,0.2624332520079142
KC1,0.6652360515021459,0.4935064935064935,0.28005784040534426
KC3,0.8461538461538461,0.5714285714285714,0.47767857142857145
MC1,0.9028132992327366,0.13636363636363635,0.15403842537713439
MC2,0.64,0.5714285714285714,0.28022426915890253
MW1,0.84,0.42857142857142855,0.3644054444067475
PC1,0.8455882352941176,0.3225806451612903,0.257550555039693
PC2,0.896551724137931,0.21052631578947367,0.2580808140698704
PC3,0.7819905213270142,0.4523809523809524,0.38280838446897164
PC4,0.8700787401574803,0.6373626373626373,0.5863991783828041
PC5,0.696165191740413,0.582995951417004,0.3986238759861008
