Dataset,Acc,F1,MCC,Cplx,W_Cplx,Best_CV_Score
CM1,0.7727272727272727,0.4,0.3120471633126526,10.311111111111112,10.311111111111112,0.26645488102179093
JM1,0.7551813471502591,0.45689655172413796,0.3014074163151324,405.50704225352115,405.50704225352115,0.27987517362448994
KC1,0.776824034334764,0.49019607843137253,0.35902124667331353,166.37254901960785,166.37254901960785,0.3152673120779416
KC3,0.7435897435897436,0.0,-0.1350154312168304,23.37984496124031,23.37984496124031,0.3489226661309302
MC1,0.9718670076726342,0.15384615384615385,0.1400569952378997,32.84390243902439,32.84390243902439,0.3051695383857746
MC2,0.64,0.4,0.16390251702679645,17.03174603174603,17.03174603174603,0.36463237242526514
MW1,0.84,0.5,0.46671106459909195,14.117117117117116,14.117117117117116,0.43245343991015683
PC1,0.8602941176470589,0.24,0.16574423609592173,32.704918032786885,32.704918032786885,0.4186960521352351
PC2,0.8344827586206897,0.0,-0.05981570970630743,9.8,9.8,0.20750386195783851
PC3,0.7203791469194313,0.4380952380952381,0.39521175087258104,13.428571428571429,13.428571428571429,0.36766957988626864
PC4,0.8700787401574803,0.5352112676056338,0.4597754329908371,78.02877697841727,78.02877697841727,0.6061810383157378
PC5,0.7374631268436578,0.5435897435897435,0.36127826678289254,117.41772151898734,117.41772151898734,0.38464868173690814
